    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01 22  2  6  0  2  0  0  4  0  4  6  4  2  0  6  6
02  0 12  0  4  6  8  6  0  0  0  2  6  2  8  4  6
03  2  8  0  4  6  6  6  0  2  0  2  2  4  8  6  8
04  0  2 20  2  2  6  2  2  2  2  4  0  0 10  2  8
05  6  4 12  4  0  4  0  2  0  4  4  2  4 10  2  6
06  0  4  8  2  6  0  8  4  0  2  4  0 12  4  2  8
07  4  4  4  2  8  4  8  2  4  2  4  0  8  2  4  4
08  0  8  0  8 10  2  4  0  2  2  6 10  4  4  2  2
09  0  4  0 12 12  2  2  4  4  2  2 12  0  4  4  0
0a  0  0  2  0  4  8  6  8  2  6 10  8  2  2  2  4
0b  8  0  4  0  4 12  8  4  4  4  2  6  0  4  2  2
0c  0  6  4  4  2  0 16  4  8  8  0  2  4  4  2  0
0d  0 10  6  4  2  0 10  0  2 12  6  0  6  4  0  2
0e  0  0  6  4  6  4  2 18  2  4  2  6  4  4  2  0
0f  2  0  4  2  6  8  6 16  4  8  2  6  0  0  0  0
10  0  2  4  4  4  0  2  4 20  6  6  2  2  2  2  4
11  4  2  2  2  2  2 10  4 20  0  4  2  2  4  0  4
12  0  4  0  2  0  6  6  6  4 10  2  2 10  6  6  0
13  2  0  2  8  0  6  6  8  2  2  2  6  6  6  8  0
14  0  4  4  2  2 10  4  2  0  2 16  8  0  2  2  6
15  8  2  8  0  4  4  0  2  2  4 14  2  2  2  2  8
16  0  0  4  4  8  2  0  6  6  2  2  6  6  0 14  4
17  0  6  2  4  6  6  2  6  2  4  4  2  8  0  8  4
18  0  2  4 16  0  4  4  2  4  6  0  8 10  2  2  0
19  2  2  2  8  2  0  2  6  2  8  4  8 12  4  2  0
1a  0  4  6  6  0  8  4  0 12  2  2  4  2  8  2  4
1b  0  6  8  6  0  4  2  2  6  0  2  4  6 10  4  4
1c  0 12  0  4  8  2  0  6  0 10  4  2  4  0 12  0
1d  2 10  4  2  4  0  0  2  6 10  4  6  0  0 12  2
1e  0  4  2  2  6  4  0  2  2  2  4  0  2  8  8 18
1f  2  4  0  6  6  6  2  2  4  0  2  2  4  6  4 14
20 18  4  0  2  0  0  0 12  0  4  2  2  6  0  2 12
21 20  2  4  4  0  4  2 12  0  2  4  0  0  4  2  4
22  2  8  4  2  8  2  6  0  2  0 10  4  2  4  6  4
23  4  6  2  6  4  4 10  0  2  0  4  4  2  6  4  6
24  4  0 18  0  2  4  2  2  4  4  8  6  0  6  2  2
25  8  0 18  0  4  4  0  2  4  0  4  2  4  8  2  4
26  2  4  2  8  2  6  8  4  4  2  0  2  8  8  2  2
27  0  2  4  4  4  4 10  4  0  4  2  4  8  6  0  8
28  2  2  4  8 12  0  4  4  0  4  2  6  4  4  8  0
29  2  6  4  4 12  0  2  2  8  2  2  8  8  2  2  0
2a  8  2  0  0  4 14  6  6  0  2  4  8  2  4  0  4
2b  6  4  2  0  4  8  0  4  0  8  4  4  6  4  2  8
2c  0 12  0  6  2  0 12  0  4 12  2  4  4  2  0  4
2d  0 12  0 10  0  4  8  2  4  8  4  2  0  4  4  2
2e  8  0  8  2  6  6  6  8  6  4  0  4  2  4  0  0
2f  8  0  6  0  4  4  8 10  2  4  4  8  0  2  4  0
30  2  0  4  2  2  6  4  4 18  2  6  2  0  6  0  6
31  0  0  0  0  6  2  2  6 16 10  8  6  0  2  0  6
32  2  0  2  4  2  6 12  8  2  8  0  2  8  4  4  0
33  2  0  2  2  4  4  6  8  0  6  4  4 12  4  6  0
34  6  0  4  2  4  8  0  0  8  6 20  2  2  2  0  0
35  2  2  4  6  4  6  6  2  6  4 12  4  2  2  0  2
36  0  4  2  4  8  4  0  6  2  6  2  8  6  2  4  6
37  0  4  2  2  6  8  4  2  8  6  2  4  4  4  6  2
38  2  6  0 12  2  2  2  2  4  2  4  6 12  2  6  0
39  2  8  4 10  4  4  4  0  6  4  0  6  8  0  4  0
3a  0  6 10  2  6  2  2  4  2  2  0  2  6  8  2 10
3b  4  6  6  6  2  6  2  0  4  0  2  0  4 10  4  8
3c  2  8  2  4  4  4  0  4  6  6  0  4  0  2 18  0
3d  2  6  2  6  2  0  0 10  0  6  2  4  2  2 18  2
3e  6  8  4  6  0  0  0  0  2  0  4  2  2  6 10 14
3f  4  6  4  4  4  2  0  0  4  0  6  4  4  4  6 12
